CÓDIGO,CENTRO EDUCATIVO,NIÑOS,NIÑAS,TOTAL
"10399","CENTRO ESCOLAR "INSA"",1869,1745,3614
"10444","CENTRO ESCOLAR CANTÓN LOS APOYOS",87,114,201
"10447","CENTRO ESCOLAR CASERÍO EL AMATILLO",82,64,146
"10527","CENTRO ESCOLAR  CASERÍO TEXIS JUNCTION, CANTÓN CHILCUYO",102,99,201
"10543","CENTRO ESCOLAR MAGDALENO BARCENAS FLORES",174,0,174
"10572","CENTRO ESCOLAR "DE ARMENIA "",383,351,734
"10730","CENTRO ESCOLAR "COLONIA SENSUNAPÁN"",541,567,1108
"11018","CENTRO ESCOLAR "DE CIUDAD ARCE"",0,0,0
"11033","CENTRO ESCOLAR "LICENCIADO HECTOR MAURICIO PALOMO SOL"",0,0,0
"11039","CENTRO ESCOLAR "COLONIA LAS MORITAS, CANTÓN LAS MORAS"",0,0,0
"11178","CENTRO ESCOLAR " CANTÓN ATEOS "",294,269,563
"11276","COMPLEJO EDUCATIVO TALNIQUE",2,3,5
"11945","COMPLEJO EDUCATIVO "GENERAL RAFAEL OSORIO HIJO"",209,225,434
"12071","CENTRO ESCOLAR "CUSCATLÁN"",362,385,747
"12856","COMPLEJO EDUCATIVO  JOSÉ A. MORA",139,120,259
"12873","COMPLEJO EDUCATIVO "CHARLAIX"",0,0,0
"12905","CENTRO ESCOLAR "CANTÓN EL PALÓN"",0,0,0
"12907","CENTRO ESCOLAR JOSÉ EVARISTO MEJÍA",0,0,0
"12979","INSTITUTO NACIONAL ISIDRO MENÉNDEZ",1049,722,1771
"12991","CENTRO ESCOLAR CIUDAD JARDÍN  Nº 3",0,0,0
"13001","CENTRO ESCOLAR "COLONIA SAN FRANCISCO"",0,0,0
"13021","CENTRO ESCOLAR "COLONIA CARRILLO, CANTÓN EL PAPALÓN"",0,0,0
"13205","COMPLEJO EDUCATIVO "FLORINDA DE JUAREZ ALEMAN"",0,0,0
"13241","CENTRO ESCOLAR "BENITO JUAREZ"",0,0,0
"13444","CENTRO ESCOLAR "VICTORIA ZELAYA"",0,0,0
"13501","CENTRO ESCOLAR "RAMON MENDOZA"",0,0,0
"13545","CENTRO ESCOLAR " REPUBLICA DE ARGENTINA "",0,0,0
"62096","CENTRO ESCOLAR CASERÍO LAS MARIAS, CANTÓN LOS APOYOS",73,98,171
"64042","CENTRO ESCOLAR CANTÓN TAPALCHUCUT NORTE",45,40,85
"68057","CENTRO ESCOLAR CASERÍO DOS DE MAYO, CANTÓN LA LABOR *",0,0,0
"68118","CENTRO ESCOLAR CANTÓN SAN JOSE LA CUEVA",51,63,114
"68123","CENTRO ESCOLAR CANTÓN SITIO GRANDE",0,0,0
"TOTAL","",5462,4865,10327
